SHA,Message,Author,Username,Date
c885f9063bda5032fe430bbee724f77b66ce034a,"docs: document the removal of IA32 Linux support (#34787)

* docs: document the removal of IA32 Linux support

Chromium had dropped support for IA32 Linux, so the Chromium
102.0.4999.0 upgrade PR,
https://github.com/electron/electron/pull/33731, had introduced the commit,
https://github.com/electron/electron/pull/33731/commits/389ef0731efca802db2089486ad6d9a91cc02ba8,
to drop support for IA32 Linux but the change landed without an addition
to the documentation for the breaking changes, so this PR adds that.

Closes: https://github.com/electron/electron/issues/34783
Refs: https://bugs.chromium.org/p/chromium/issues/detail?id=1194538
Signed-off-by: Darshan Sen <raisinten@gmail.com>

* Update docs/breaking-changes.md

Co-authored-by: Keeley Hammond <vertedinde@electronjs.org>

Co-authored-by: Jeremy Rose <nornagon@nornagon.net>
Co-authored-by: Keeley Hammond <vertedinde@electronjs.org>",Darshan Sen,RaisinTen,2022-06-30T16:23:03Z
c3920c5c02a6875b444a7c4017ba85145b658fec,Bump v21.0.0-nightly.20220630,Sudowoodo Release Bot,sudowoodo-release-bot[bot],2022-06-30T13:02:00Z
5d120359f6f6adf730455189d099b0a63a0e5cc9,chore: used nested namespaces (#34737),David Sanders,dsanders11,2022-06-29T19:55:47Z
0d4e417594dd54a75534d67388082f034868969c,chore: modernize ListValue usage in permission manager (#34662),Jeremy Rose,nornagon,2022-06-29T17:09:48Z
4ddd03b1b3f1224bfe3dfb094cb998f64fc8ce4f,chore: modernize some devtools code using deprecated ListValue (#34655),Jeremy Rose,nornagon,2022-06-29T16:39:48Z
7c12baccab6b7589db5f941fa9306e0aa4373b60,build: remove appveyor hook to defunct service (#34789),Shelley Vohr,codebytere,2022-06-29T15:19:05Z
461561c19caecc79009e1d45c5172df375d3484f,Bump v21.0.0-nightly.20220629,Sudowoodo Release Bot,sudowoodo-release-bot[bot],2022-06-29T13:01:40Z
1f814eacb2875c17d6ef6d0f702fc1c4003bcde6,"build: fix release_dependency_versions workflow (#34573)

Signed-off-by: Josh Soref <2119212+jsoref@users.noreply.github.com>",Josh Soref,jsoref,2022-06-29T12:55:59Z
ad2b1fee59c2e4352b0c5664f72c0067a2ef4d7f,"fix: re-enable HKDF crypto functionality (#34767)

* fix: re-enable HKDF crypto functionality

* chore: update patches

Co-authored-by: PatchUp <73610968+patchup[bot]@users.noreply.github.com>",Shelley Vohr,codebytere,2022-06-29T12:53:57Z
35ff95d3c71849ac97ced178a2330b9d4651f250,fix: `<datalist>` bounds vertical cutoff (#34759),Shelley Vohr,codebytere,2022-06-29T08:14:03Z
6257e0c348ed3e30b8b7799475adeb6019138f95,Bump v21.0.0-nightly.20220628,Sudowoodo Release Bot,sudowoodo-release-bot[bot],2022-06-29T03:28:29Z
3310e4039fa517d9216378804cda73ee77b8c0a9,build: update makeRequest parameters (#34782),Keeley Hammond,VerteDinde,2022-06-29T03:26:00Z
40fbc05bb2fba653bfa490716285dcce6a355467,chore: modernize base::Value usage in accessibility_ui (#34666),Jeremy Rose,nornagon,2022-06-28T23:40:56Z
3458eac2760bac6bd022e3e770d31ff0eda150f4,"chore: update printing patch for main gclient sync (#34777)

chore: update printing patch",Keeley Hammond,VerteDinde,2022-06-28T23:40:23Z
44b9ee51f45466603728721d23fb4dd95061c142,fix: resolve symlinks when computing relative asar paths for integrity (#34776),Samuel Attard,MarshallOfSound,2022-06-28T23:02:00Z
07294cbf15a94a6150877b67178911273cb022cf,chore: modernize ListValue usage in gpu info (#34663),Jeremy Rose,nornagon,2022-06-28T16:52:59Z
a4043237da51c0499daf378f422889e8accb3bfc,"Revert ""Bump v21.0.0-nightly.20220628""

This reverts commit f1087cc830872365c7e9dade7b44de099853b08c.",Sudowoodo Release Bot,sudowoodo-release-bot[bot],2022-06-28T14:40:00Z
704b2199b3457f01611795eb3d36b4cb85ff5641,"build: fix building with enable_basic_printing false (#34711)

* build: fix building with enable_basic_printing false

* temp flags for ci builds

* fix other systems

* disable cups

* disable print preview

* revert changes

* merge with printing.patch",Micha Hanselmann,deermichel,2022-06-28T14:34:00Z
f1087cc830872365c7e9dade7b44de099853b08c,Bump v21.0.0-nightly.20220628,Sudowoodo Release Bot,sudowoodo-release-bot[bot],2022-06-28T14:07:08Z
d028044a2490cb5cd3af1ccb19764c8575c6da90,"Revert ""Bump v21.0.0-nightly.20220628""

This reverts commit 9c311a205971cc17f79b9d7e2528b09edf1a361e.",Sudowoodo Release Bot,sudowoodo-release-bot[bot],2022-06-28T14:05:52Z
9c311a205971cc17f79b9d7e2528b09edf1a361e,Bump v21.0.0-nightly.20220628,Sudowoodo Release Bot,sudowoodo-release-bot[bot],2022-06-28T13:01:35Z
