SHA,Message,Author,Username,Date
ba405bacbfa0bbd9bfd8089147ecaddd9a2ec962,docs: Update INTHEWILD.md with Aveti Learning (#29413),Shubhendra Kushwaha,TheShubhendra,2024-06-30T12:08:15Z
5c9352fae4cdd7f0a107815102c9086e711867f4,docs: update INTHEWILD.md with bluquist (#29399),ari-jane,ari-jane,2024-06-28T19:46:06Z
e274925b2a975165b4c22e87860075c90d7e4832,"chore(frontend): remove obsolete ESLint rules in tests (#29405)

Signed-off-by: hainenber <dotronghai96@gmail.com>",Đỗ Trọng Hải,hainenber,2024-06-28T19:45:38Z
8fb8199a55257ae5121300aa3bd28d14d327bc33,"chore(dao/command): Add transaction decorator to try to enforce ""unit of work"" (#24969)",John Bodley,john-bodley,2024-06-28T19:33:56Z
a3f0d00714cafe01d32a39a4df56ec6d4b15087c,"refactor(src/explore/comp/controls/metricControl): migrate Enzyme test to RTL syntax (#29380)

Signed-off-by: hainenber <dotronghai96@gmail.com>
Co-authored-by: Michael S. Molina <70410625+michael-s-molina@users.noreply.github.com>",Đỗ Trọng Hải,hainenber,2024-06-28T16:22:19Z
f128718d342827bde646e0cd0c64d0b756cbb173,docs: fix typos (#29400),Jan Suleiman,jansule,2024-06-28T15:31:54Z
ed3c66b6a6f8b3ebc9092faa666c84d445b2ea8a,"chore(deps): bump scroll-into-view-if-needed from 2.2.28 to 3.1.0 in /superset-frontend (#28816)

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",dependabot[bot],dependabot[bot],2024-06-28T15:30:58Z
66bc8ceddd69d4f9bf6b854ec38054fdacb6aa1d,chore(Table): Add aria-label to Table page size selector (#29391),Geido,geido,2024-06-28T14:19:58Z
2a587a771cad037b89566ce63dfdd16545a3b250,feat: Add Ant Design 5 Theme  (#29328),Geido,geido,2024-06-28T13:16:05Z
c70a9d0e674d1b52bcdf17a22a8450ee7a3814b2,fix(readme): changing video from mp4 to webm format (#29392),Evan Rusackas,rusackas,2024-06-27T17:30:59Z
9c5c124155cd9bf111ba9d1c16fe24f1bb7bda33,docs: fix typo in docker compose doc (#29390),Jan Suleiman,jansule,2024-06-27T17:25:53Z
59d1eea4c8ccbce8869ca4d6abf942bce34b4b14,ci: remove update repo on issue comment (#29388),Daniel Vaz Gaspar,dpgaspar,2024-06-27T17:25:07Z
9d405738c07e7204e068d04953afb62d8494c460,chore(tests): Remove unnecessary mock (#29386),John Bodley,john-bodley,2024-06-27T14:28:50Z
466dda2b147e2e1f54e2af160971aad0531e1051,chore(security): Clean up session/commit logic (#29381),John Bodley,john-bodley,2024-06-26T19:57:51Z
5948dac88940dbe38275b002d30ad33b1b55e698,chore(ci): Start Celery worker as a background process (#29371),John Bodley,john-bodley,2024-06-26T19:10:05Z
53450b7e2f585e2b3ccff614b142ea03a18a504e,fix(tox): Address issue with generative environment variables (#29368),John Bodley,john-bodley,2024-06-26T19:01:50Z
731cfb1553f6004084e6ad1e81f58501b3a46b26,chore(tests): Mark TestConnectionDatabaseCommand as non-test related (#29366),John Bodley,john-bodley,2024-06-26T19:01:26Z
c49a6dfdef3853a56b41da3c5c91f02a1ed5e0c1,feat(e2e): implementing Cypress Dashboard on `master` branch merges (#29351),Evan Rusackas,rusackas,2024-06-26T15:34:30Z
d4054e3d8554f03ee036aa716b8d9fe88b10bdd6,feat: Adds chart IDs option to migrate-viz (#29361),Michael S. Molina,michael-s-molina,2024-06-26T12:20:29Z
c83d5b88e159413d09fb346a95201255b1b5e196,feat: Adds the ECharts Sankey chart (#29329),Michael S. Molina,michael-s-molina,2024-06-26T11:36:07Z
58f33d227a8779e0a02da6fa8d75ae175d232f89,fix(explore): don't respect y-axis formatting (#29367),JUST.in DO IT,justinpark,2024-06-26T11:16:36Z
de6a518161b283e8df7e2b450e5dada6e37efe7b,fix(Query): Parse html string error responses to avoid displaying raw HTML as error message (#29321),Ross Mabbett,rtexelm,2024-06-26T00:48:35Z
b5a72e21f73808bcca94341f5a904753a589e67b,refactor(Homepage): Migrate Home.test to RTL (#29353),Ross Mabbett,rtexelm,2024-06-25T21:58:26Z
d74d3a87bb6e46eed6b57e76cb7bf5707ce27c9b,fix: default logging (#27777),Jessie R,jessie-ross,2024-06-25T20:25:21Z
dffad4850404abed68700cc18d9124abe7594aa4,"feat(build): uplift `Jest` to v29 (#29118)

Signed-off-by: hainenber <dotronghai96@gmail.com>
Co-authored-by: Maxime Beauchemin <maximebeauchemin@gmail.com>
Co-authored-by: JUST.in DO IT <justin.park@airbnb.com>",Đỗ Trọng Hải,hainenber,2024-06-25T17:56:14Z
f9f70e3e55600b247d1bd5ea1bf9b0832b022566,chore(tests): Fix MySQL logic (#29356),John Bodley,john-bodley,2024-06-25T17:20:04Z
c12b4e9cbaf82bb09d8ead4052044702f747b7ac,chore(tests): Cleanup Celery tests (#29355),John Bodley,john-bodley,2024-06-25T17:19:16Z
d69363ef1135f8639fa311d2d947ea4ae79a0e80,fix(tests): Ensure fixture is invoked (#29352),John Bodley,john-bodley,2024-06-25T17:17:58Z
708afb71462fa616209bbff9b23000880158810e,fix(revert 27883): Excess padding in horizontal Bar charts (#29345),Michael S. Molina,michael-s-molina,2024-06-25T16:33:53Z
213fd69b2b2ad975d21fba6b935024ae76e61c3c,chore: Rename Totals to Summary in table chart (#29360),Michael S. Molina,michael-s-molina,2024-06-25T16:33:16Z
5ffa616d98695645cace5a8a713714628d3735d2,"fix: actually write changes on ""superset import-datasources"" (#14817)",Régis Behmo,regisb,2024-06-25T15:25:38Z
160cece017d656039c36b1ba5a5dc238e5cce16e,fix(explore): restored hidden field values has discarded (#29349),JUST.in DO IT,justinpark,2024-06-24T21:52:32Z
ee5227733b7d3d1a79ffeda160731ca30cac02a1,fix: Cannot delete empty column inside a tab using the dashboard editor (#29346),Michael S. Molina,michael-s-molina,2024-06-24T17:36:18Z
01ffc1227a715c4cd2f3e145a9d3ae9b9c0f70ec,docs: Update INTHEWILD.md with Bluesquare (#29337),Martin De Wulf,madewulf,2024-06-24T17:22:29Z
4fe04e63ac2f0bbf2e824dd896e445681ba98328,chore(e2e): simplify Cypress record key usage (#29327),Evan Rusackas,rusackas,2024-06-24T16:07:04Z
fe3ba12801dca32359a6ad811fe9a4f75502106a,refactor: Adds the sort_by_metric control to sharedControls (#29325),Michael S. Molina,michael-s-molina,2024-06-21T17:10:33Z
79d84f30f56490508961ad04839f30e3506b608a,docs: update CVEs fixed on 4.0.1 and 3.1.3 (#29313),Daniel Vaz Gaspar,dpgaspar,2024-06-21T11:08:40Z
9444c6bd4b04a9ab509a8edead604f78c22f4d3e,fix: Remove recursive repr call (#29314),Jessie R,jessie-ross,2024-06-21T07:24:50Z
8c990adabe5268af7f9baa1b9a25a7283289e3ac,"build(deps): bump deck.gl from 9.0.6 to 9.0.12 in /superset-frontend/plugins/legacy-preset-chart-deckgl (#28296)

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>
Co-authored-by: GitHub-Actions[bot] <github-actions[bot]@users.noreply.github.com>",dependabot[bot],dependabot[bot],2024-06-21T03:53:09Z
118552d4d2e1df6742c6a3083cee04ad214b627b,chore(e2e): more instructions for manual test runs. (#29319),Evan Rusackas,rusackas,2024-06-20T23:47:24Z
514eda82fbada573b99c5eba892f811ac50bb771,fix: don't strip SQL comments in Explore - 2nd try (#28753),Maxime Beauchemin,mistercrunch,2024-06-20T21:30:03Z
5e060cef7c0ec197a44b92490eb11c5a39282c92,"feat: add new SQLLAB_FORCE_RUN_ASYNC feature flag (#29231)

Co-authored-by: Geido <60598000+geido@users.noreply.github.com>",Maxime Beauchemin,mistercrunch,2024-06-20T21:28:46Z
