SHA,Message,Author,Username,Date
4b95c1f51719593fcc3ddcbba7effec11968945d,"Add new entry to lists of users of Apache Superset (#8906)

* Add new entry to lists of users of Apache Superset

Add new entry to lists of users of Apache Superset

* Alphabetical order

Alphabetical order",Popoko Games,vminc,2019-12-31T17:22:14Z
8fc814fc62d8f96f93aaac8223a660e4f9e6d28e,"Enable running of tests in tests/db_engine_specs (#8902)

* Enable running of tests in tests/db_engine_specs

* Resolve application context errors

* Refactor and add tests for pyodbc.Row conversion

* Appease isort, regardless of isort:skip",Rob DiCiuccio,robdiciuccio,2019-12-31T12:45:33Z
5b690f94116b5b77c0af566d24f298cc6db469b9,"chore: refactor, add typing and fix uncovered errors (#8900)

* Add type annotations and fix inconsistencies

* Address review comments

* Remove incorrect typing of jsonable obj",Ville Brofeldt,villebro,2019-12-31T07:26:23Z
191aca1fb01b797dae21657021d8fcd1e836c40a,[docker] fix: for #8880 (#8882),Daniel Vaz Gaspar,dpgaspar,2019-12-22T22:07:50Z
36c6f4ca3adfb237e1a4931563b782a4d7e7932a,"moving favicon(s) to config, allowing multiple favicons (#8856)

* moving favicon to config, allowing multiple favicons

* black...",Evan Rusackas,rusackas,2019-12-20T20:58:36Z
d0efd0e4c925207f7c7ae51c32a3f65b126bff4b,Ease switching of database engines for docker builds (#8863),Chan Chak Shing,Unknown,2019-12-20T10:57:33Z
3a468a53d9dbf9d8fc44c3e1c396a8d7eb1e8f27,fix a broken model reference (#8866),David Aaron Suddjian,suddjian,2019-12-20T10:46:25Z
3d9181d27047f919109701ef5007654c494614c4,"[dashboard] New, get releated owners and slices (#8872)",Daniel Vaz Gaspar,dpgaspar,2019-12-20T10:16:57Z
b6639504b66e63e74a43f76280a403fe78508261,"Removing some dividers to make header dropdown menus more consistent (#8857)

* separators removed, ""childs"" changed to ""children""

* changing `children` back to `childs`... it's baked in somewhere in Fab

* linting

* reverting changes to MenuObject

* adding separator above Druid menu items",Evan Rusackas,rusackas,2019-12-19T18:17:43Z
cd8aa92cbbc9341564ccfb848cb8bb5ae79c37a1,"[explore view] fix: Inline edit chart title cause unintended overwrite original query parameter (#8835)

* [explore view] fix: Inline edit chart title cause unintended overwrite original query parameter

* add more unit tests

* handle new slice case",Grace Guo,Unknown,2019-12-19T00:17:48Z
